"SAINC4 Personal Income and Employment by Major Component"
"" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"08000","Colorado","20","Population (persons) 3/",5121900,5193660,5270774,5352637,5454328,5543844,5617421,5697155,5758486
"08000","Colorado","30","Per capita personal income (dollars) 4/",43568,45660,47295,50687,52219,52431,55550,58836,61159
"08000","Colorado","","Employment (number of jobs)","","","","","","","","",""
"08000","Colorado","7010","Total employment",3204078,3262925,3356175,3467519,3574243,3667987,3759409,3855474,3949744
"09000","Connecticut","","Income by place of residence","","","","","","","","",""
"09000","Connecticut","10","Personal income (millions of dollars)",228929.4,233337.8,228472.2,239001.1,245244.0,250178.6,256348.8,267346.2,275556.8
"09000","Connecticut","20","Population (persons) 3/",3588632,3595211,3595792,3595697,3588561,3579830,3575324,3574561,3566022
"09000","Connecticut","30","Per capita personal income (dollars) 4/",63793,64902,63539,66469,68340,69886,71699,74791,77273
"09000","Connecticut","","Employment (number of jobs)","","","","","","","","",""
"09000","Connecticut","7010","Total employment",2206269,2223221,2246561,2266029,2288113,2300038,2300325,2316626,2331726
"10000","Delaware","","Income by place of residence","","","","","","","","",""
"10000","Delaware","10","Personal income (millions of dollars)",39825.6,40338.4,40949.5,42888.3,45196.4,46341.8,48604.3,51103.1,53055.3
"10000","Delaware","20","Population (persons) 3/",907590,915518,924062,933131,942065,949989,957942,966985,976668
"10000","Delaware","30","Per capita personal income (dollars) 4/",43881,44061,44315,45962,47976,48781,50738,52848,54323
"10000","Delaware","","Employment (number of jobs)","","","","","","","","",""
"10000","Delaware","7010","Total employment",530400,534261,544797,556517,568952,578698,584834,597228,606694
"11000","District of Columbia","","Income by place of residence","","","","","","","","",""
"11000","District of Columbia","10","Personal income (millions of dollars)",41786.3,43426.9,44189.2,47259.7,50963.6,53375.8,55051.1,56995.8,58864.0
"11000","District of Columbia","20","Population (persons) 3/",620290,635737,651559,663603,677014,687576,697079,704147,708253
"11000","District of Columbia","30","Per capita personal income (dollars) 4/",67366,68310,67821,71217,75277,77629,78974,80943,83111
"11000","District of Columbia","","Employment (number of jobs)","","","","","","","","",""
"11000","District of Columbia","7010","Total employment",826761,834413,848226,860669,873232,891545,902759,914060,923009
"12000","Florida","","Income by place of residence","","","","","","","","",""
"12000","Florida","10","Personal income (millions of dollars)",764633.7,793428.8,795425.0,856161.8,914928.4,949718.0,1016819.0,1082702.2,1125984.0
"12000","Florida","20","Population (persons) 3/",19055607,19302016,19551678,19853880,20219111,20627237,20977089,21254926,21492056
"12000","Florida","30","Per capita personal income (dollars) 4/",40126,41106,40683,43123,45251,46042,48473,50939,52391
"12000","Florida","","Employment (number of jobs)","","","","","","","","",""
"12000","Florida","7010","Total employment",10036634,10249024,10539255,10937166,11367160,11673482,12085322,12547585,12857048
"13000","Georgia","","Income by place of residence","","","","","","","","",""
"13000","Georgia","10","Personal income (millions of dollars)",358538.6,368868.1,374489.2,400696.1,425498.4,441905.5,467359.4,493575.9,512137.9
"13000","Georgia","20","Population (persons) 3/",9803630,9903580,9975592,10071204,10183353,10308442,10417031,10519389,10628020
"13000","Georgia","30","Per capita personal income (dollars) 4/",36572,37246,37541,39786,41784,42868,44865,46921,48188
"13000","Georgia","","Employment (number of jobs)","","","","","","","","",""
"13000","Georgia","7010","Total employment",5325616,5384572,5496783,5670735,5832585,5971967,6124558,6284607,6418752
"15000","Hawaii *","","Income by place of residence","","","","","","","","",""
"15000","Hawaii *","10","Personal income (millions of dollars)",60044.6,62455.9,63316.6,66846.1,70376.2,73048.0,76109.6,78436.1,80726.5
"15000","Hawaii *","20","Population (persons) 3/",1379562,1395199,1408822,1415335,1422999,1428885,1425763,1423102,1415615
"15000","Hawaii *","30","Per capita personal income (dollars) 4/",43524,44765,44943,47230,49456,51122,53382,55116,57026
"15000","Hawaii *","","Employment (number of jobs)","","","","","","","","",""
"15000","Hawaii *","7010","Total employment",835012,849156,868122,882732,901121,913087,919341,927336,932230
"16000","Idaho","","Income by place of residence","","","","","","","","",""
"16000","Idaho","10","Personal income (millions of dollars)",53082.6,56139.8,58338.3,61827.3,65683.4,68248.4,72605.0,77992.6,82148.4
"16000","Idaho","20","Population (persons) 3/",1584272,1595910,1612053,1632248,1652495,1684036,1719745,1752074,1789060
"16000","Idaho","30","Per capita personal income (dollars) 4/",33506,35177,36189,37879,39748,40527,42218,44514,45917
"16000","Idaho","","Employment (number of jobs)","","","","","","","","",""
"16000","Idaho","7010","Total employment",878541,883148,902866,925519,949506,976764,1007546,1040434,1071664
"17000","Illinois","","Income by place of residence","","","","","","","","",""
"17000","Illinois","10","Personal income (millions of dollars)",567967.5,593239.1,607671.4,637280.0,665490.1,672019.9,693273.7,727064.1,744640.7
"17000","Illinois","20","Population (persons) 3/",12867783,12883029,12895778,12885092,12859585,12821709,12779893,12724685,12667017
"17000","Illinois","30","Per capita personal income (dollars) 4/",44139,46048,47122,49459,51751,52413,54247,57138,58786
"17000","Illinois","","Employment (number of jobs)","","","","","","","","",""
"17000","Illinois","7010","Total employment",7376100,7434661,7503158,7613484,7748868,7799138,7817318,7880969,7962884
"18000","Indiana","","Income by place of residence","","","","","","","","",""
"18000","Indiana","10","Personal income (millions of dollars)",245346.4,257149.5,260424.4,270985.7,281848.5,289731.4,301238.3,316836.5,327712.5
"18000","Indiana","20","Population (persons) 3/",6517250,6538989,6570575,6596019,6611442,6637898,6662068,6698481,6731010
"18000","Indiana","30","Per capita personal income (dollars) 4/",37646,39326,39635,41083,42630,43648,45217,47300,48687
"18000","Indiana","","Employment (number of jobs)","","","","","","","","",""
"18000","Indiana","7010","Total employment",3590196,3642334,3684125,3740428,3796419,3847689,3901788,3960510,4006907
"19000","Iowa","","Income by place of residence","","","","","","","","",""
"19000","Iowa","10","Personal income (millions of dollars)",125560.5,131984.2,134463.5,139303.3,144493.6,145756.4,149732.3,157980.9,163638.6
"19000","Iowa","20","Population (persons) 3/",3066772,3076844,3093935,3110643,3122541,3133210,3143734,3149900,3159596
"19000","Iowa","30","Per capita personal income (dollars) 4/",40942,42896,43460,44783,46274,46520,47629,50154,51791
"19000","Iowa","","Employment (number of jobs)","","","","","","","","",""
"19000","Iowa","7010","Total employment",1975960,1993430,2019480,2038926,2059837,2066316,2062038,2075928,2093635
"20000","Kansas","","Income by place of residence","","","","","","","","",""
"20000","Kansas","10","Personal income (millions of dollars)",122562.0,130182.0,132978.6,135975.9,137721.2,137945.1,142185.7,149239.0,155647.6
"20000","Kansas","20","Population (persons) 3/",2869677,2886024,2894306,2901861,2910717,2912977,2910892,2912748,2912635
"20000","Kansas","30","Per capita personal income (dollars) 4/",42709,45108,45945,46858,47315,47355,48846,51236,53439
"20000","Kansas","","Employment (number of jobs)","","","","","","","","",""
"20000","Kansas","7010","Total employment",1819044,1841393,1869054,1895859,1910954,1916428,1913506,1926040,1945791
"21000","Kentucky","","Income by place of residence","","","","","","","","",""
"21000","Kentucky","10","Personal income (millions of dollars)",151299.9,156827.6,158218.4,165914.7,173495.8,176435.1,182116.0,188876.8,195548.8
"21000","Kentucky","20","Population (persons) 3/",4370817,4387865,4406906,4416992,4429126,4440306,4455590,4464273,4472345
"21000","Kentucky","30","Per capita personal income (dollars) 4/",34616,35741,35902,37563,39172,39735,40874,42309,43724
"21000","Kentucky","","Employment (number of jobs)","","","","","","","","",""
"21000","Kentucky","7010","Total employment",2368202,2389363,2407562,2440072,2473915,2498847,2519631,2544758,2572457
"22000","Louisiana","","Income by place of residence","","","","","","","","",""
"22000","Louisiana","10","Personal income (millions of dollars)",177105.1,186589.4,189197.1,198233.9,200110.3,198952.0,205188.0,215308.7,220629.7
"22000","Louisiana","20","Population (persons) 3/",4576244,4602067,4626040,4645938,4666998,4681346,4673673,4664450,4658285
"22000","Louisiana","30","Per capita personal income (dollars) 4/",38701,40545,40898,42668,42878,42499,43903,46159,47363
"22000","Louisiana","","Employment (number of jobs)","","","","","","","","",""
"22000","Louisiana","7010","Total employment",2564944,2601174,2641657,2684755,2696590,2690820,2695724,2727693,2745180
"23000","Maine","","Income by place of residence","","","","","","","","",""
"23000","Maine","10","Personal income (millions of dollars)",52424.4,53490.0,53346.3,55650.0,57941.8,59685.4,62145.8,65335.2,68062.4
"23000","Maine","20","Population (persons) 3/",1328473,1328094,1328543,1331217,1329098,1332348,1335743,1340123,1345770
"23000","Maine","30","Per capita personal income (dollars) 4/",39462,40276,40154,41804,43595,44797,46525,48753,50575
"23000","Maine","","Employment (number of jobs)","","","","","","","","",""
"23000","Maine","7010","Total employment",794389,796903,803641,810868,816552,826669,834691,844922,856302
"24000","Maryland","","Income by place of residence","","","","","","","","",""
"24000","Maryland","10","Personal income (millions of dollars)",306179.6,315230.9,314267.3,325837.0,341389.9,354260.6,365997.5,378491.5,390792.5
"24000","Maryland","20","Population (persons) 3/",5840241,5888375,5925197,5960064,5988528,6007014,6028186,6042153,6054954
"24000","Maryland","30","Per capita personal income (dollars) 4/",52426,53534,53039,54670,57007,58974,60714,62642,64541
"24000","Maryland","","Employment (number of jobs)","","","","","","","","",""
"24000","Maryland","7010","Total employment",3394831,3438880,3493921,3537654,3602936,3655889,3692575,3751324,3803930
"25000","Massachusetts","","Income by place of residence","","","","","","","","",""
"25000","Massachusetts","10","Personal income (millions of dollars)",365742.7,382009.4,385192.0,405505.9,432237.4,448480.5,469500.7,494177.3,511333.7
"25000","Massachusetts","20","Population (persons) 3/",6614218,6664269,6715158,6764864,6797484,6827280,6863560,6885720,6894883
"25000","Massachusetts","30","Per capita personal income (dollars) 4/",55296,57322,57362,59943,63588,65689,68405,71768,74161
"25000","Massachusetts","","Employment (number of jobs)","","","","","","","","",""
"25000","Massachusetts","7010","Total employment",4175311,4253327,4353568,4447626,4631417,4709906,4778377,4854274,4936751
"26000","Michigan","","Income by place of residence","","","","","","","","",""
"26000","Michigan","10","Personal income (millions of dollars)",370676.1,386568.4,390199.7,408617.5,431805.5,444166.8,458247.1,477009.6,491631.8
"26000","Michigan","20","Population (persons) 3/",9883053,9898289,9914802,9932033,9934483,9954117,9976752,9987286,9984795
"26000","Michigan","30","Per capita personal income (dollars) 4/",37506,39054,39355,41141,43465,44621,45931,47762,49238
"26000","Michigan","","Employment (number of jobs)","","","","","","","","",""
"26000","Michigan","7010","Total employment",5165348,5234473,5323762,5412041,5501549,5575625,5630538,5713384,5772831
"27000","Minnesota","","Income by place of residence","","","","","","","","",""
"27000","Minnesota","10","Personal income (millions of dollars)",242440.3,257319.7,259538.9,273960.6,287012.3,293162.5,305921.2,321638.5,331801.9
"27000","Minnesota","20","Population (persons) 3/",5346620,5377500,5414722,5452665,5484002,5525360,5569283,5608762,5640053
"27000","Minnesota","30","Per capita personal income (dollars) 4/",45345,47851,47932,50243,52336,53058,54930,57346,58830
"27000","Minnesota","","Employment (number of jobs)","","","","","","","","",""
"27000","Minnesota","7010","Total employment",3469201,3505578,3556487,3603717,3662852,3698285,3735455,3776390,3819497
"28000","Mississippi","","Income by place of residence","","","","","","","","",""
"28000","Mississippi","10","Personal income (millions of dollars)",95795.2,99386.4,101176.8,103310.8,105212.7,106585.1,109189.5,112837.6,115814.2
"28000","Mississippi","20","Population (persons) 3/",2979147,2984599,2989839,2991892,2990231,2990595,2990674,2982879,2978227
"28000","Mississippi","30","Per capita personal income (dollars) 4/",32155,33300,33840,34530,35185,35640,36510,37828,38887
"28000","Mississippi","","Employment (number of jobs)","","","","","","","","",""
"28000","Mississippi","7010","Total employment",1509941,1519719,1532583,1556753,1568218,1579873,1589961,1601728,1617430
"29000","Missouri","","Income by place of residence","","","","","","","","",""
"29000","Missouri","10","Personal income (millions of dollars)",230429.7,241762.7,243582.2,252999.6,262012.6,269771.2,276887.6,288385.0,298619.8
"29000","Missouri","20","Population (persons) 3/",6011182,6026027,6042989,6059130,6075411,6091384,6111382,6125986,6140475
"29000","Missouri","30","Per capita personal income (dollars) 4/",38334,40120,40308,41755,43127,44287,45307,47076,48631
"29000","Missouri","","Employment (number of jobs)","","","","","","","","",""
"29000","Missouri","7010","Total employment",3506571,3528129,3565922,3596751,3655804,3700663,3735898,3776360,3821914
"30000","Montana","","Income by place of residence","","","","","","","","",""
"30000","Montana","10","Personal income (millions of dollars)",38077.7,40471.0,40720.8,42817.5,44956.1,45822.5,48623.3,51117.4,53168.0
"30000","Montana","20","Population (persons) 3/",997518,1004168,1014158,1022657,1031495,1042137,1053862,1061818,1070123
"30000","Montana","30","Per capita personal income (dollars) 4/",38172,40303,40152,41869,43583,43970,46138,48141,49684
"30000","Montana","","Employment (number of jobs)","","","","","","","","",""
"30000","Montana","7010","Total employment",623175,633135,641917,648873,660524,667815,674336,683974,695247
"31000","Nebraska","","Income by place of residence","","","","","","","","",""
"31000","Nebraska","10","Personal income (millions of dollars)",83613.6,86293.7,86913.9,91999.0,95935.5,94547.5,97032.4,101845.6,105454.2
"31000","Nebraska","20","Population (persons) 3/",1840914,1853691,1865813,1879955,1892059,1906483,1916998,1925512,1932571
"31000","Nebraska","30","Per capita personal income (dollars) 4/",45420,46552,46582,48937,50704,49593,50617,52893,54567
"31000","Nebraska","","Employment (number of jobs)","","","","","","","","",""
"31000","Nebraska","7010","Total employment",1232457,1251258,1266477,1282745,1302833,1310866,1317550,1329836,1342465
"32000","Nevada","","Income by place of residence","","","","","","","","",""
"32000","Nevada","10","Personal income (millions of dollars)",104579.4,108825.1,109055.1,116945.3,127046.8,132315.0,141515.9,151367.8,157583.7
"32000","Nevada","20","Population (persons) 3/",2713114,2744670,2776956,2818935,2868531,2919555,2972097,3030725,3090771
"32000","Nevada","30","Per capita personal income (dollars) 4/",38546,39650,39271,41486,44290,45320,47615,49944,50985
"32000","Nevada","","Employment (number of jobs)","","","","","","","","",""
"32000","Nevada","7010","Total employment",1501839,1519198,1561388,1608494,1664658,1725136,1779792,1847969,1902080
"33000","New Hampshire","","Income by place of residence","","","","","","","","",""
"33000","New Hampshire","10","Personal income (millions of dollars)",64589.7,67528.8,67320.4,70225.1,72874.8,75858.2,79253.4,83199.1,86344.9
"33000","New Hampshire","20","Population (persons) 3/",1320444,1324677,1327272,1334257,1337480,1343694,1350395,1355064,1360783
"33000","New Hampshire","30","Per capita personal income (dollars) 4/",48915,50978,50721,52632,54487,56455,58689,61399,63452
"33000","New Hampshire","","Employment (number of jobs)","","","","","","","","",""
"33000","New Hampshire","7010","Total employment",818789,824361,835032,844499,860657,873134,882286,892389,904939
"34000","New Jersey","","Income by place of residence","","","","","","","","",""
"34000","New Jersey","10","Personal income (millions of dollars)",474015.5,491662.0,496464.8,520079.0,542298.8,557461.9,577407.8,602870.1,625937.9
"34000","New Jersey","20","Population (persons) 3/",8828552,8845671,8857821,8867277,8870312,8873584,8888147,8891730,8891258
"34000","New Jersey","30","Per capita personal income (dollars) 4/",53691,55582,56048,58651,61136,62823,64964,67801,70399
"34000","New Jersey","","Employment (number of jobs)","","","","","","","","",""
"34000","New Jersey","7010","Total employment",5018505,5053839,5132846,5206784,5303122,5391330,5448478,5549186,5635957
"35000","New Mexico","","Income by place of residence","","","","","","","","",""
"35000","New Mexico","10","Personal income (millions of dollars)",72820.3,74578.4,73437.9,77747.6,80061.7,81626.5,83141.6,87204.6,90846.9
"35000","New Mexico","20","Population (persons) 3/",2080707,2087715,2092833,2090236,2090071,2092555,2092844,2093754,2099634
"35000","New Mexico","30","Per capita personal income (dollars) 4/",34998,35723,35090,37196,38306,39008,39727,41650,43268
"35000","New Mexico","","Employment (number of jobs)","","","","","","","","",""
"35000","New Mexico","7010","Total employment",1064267,1067211,1075465,1083772,1092255,1092500,1095372,1110785,1130618
"36000","New York","","Income by place of residence","","","","","","","","",""
"36000","New York","10","Personal income (millions of dollars)",1004130.3,1056671.2,1069556.2,1115351.8,1164400.3,1205507.2,1289263.2,1340903.3,1395147.5
"36000","New York","20","Population (persons) 3/",19499921,19574362,19626488,19653431,19657321,19636391,19593849,19544098,19463131
"36000","New York","30","Per capita personal income (dollars) 4/",51494,53982,54496,56751,59235,61391,65799,68609,71682
"36000","New York","","Employment (number of jobs)","","","","","","","","",""
"36000","New York","7010","Total employment",11294064,11432840,11619137,11865518,12099185,12259144,12389041,12651360,12873579
"37000","North Carolina","","Income by place of residence","","","","","","","","",""
"37000","North Carolina","10","Personal income (millions of dollars)",355052.3,379925.3,376023.9,397996.0,419717.4,434789.0,455997.1,479791.8,500973.8
"37000","North Carolina","20","Population (persons) 3/",9658913,9751810,9846717,9937295,10037218,10161802,10275758,10391358,10501384
"37000","North Carolina","30","Per capita personal income (dollars) 4/",36759,38959,38188,40051,41816,42787,44376,46172,47706
"37000","North Carolina","","Employment (number of jobs)","","","","","","","","",""
"37000","North Carolina","7010","Total employment",5292814,5356443,5437125,5568662,5695035,5829015,5922721,6056769,6188601
"38000","North Dakota","","Income by place of residence","","","","","","","","",""
"38000","North Dakota","10","Personal income (millions of dollars)",32882.2,38859.8,38860.6,41526.2,40540.0,39104.0,39812.9,42291.9,43614.4
"38000","North Dakota","20","Population (persons) 3/",685526,702227,723149,738736,755537,756114,756755,760062,763724
"38000","North Dakota","30","Per capita personal income (dollars) 4/",47966,55338,53738,56212,53657,51717,52610,55643,57108
"38000","North Dakota","","Employment (number of jobs)","","","","","","","","",""
"38000","North Dakota","7010","Total employment",529779,567388,587398,606989,597642,576908,573075,578315,586904
"39000","Ohio","","Income by place of residence","","","","","","","","",""
"39000","Ohio","10","Personal income (millions of dollars)",451011.1,469260.8,475776.2,496069.1,515871.4,526177.2,546006.0,569184.0,586784.0
"39000","Ohio","20","Population (persons) 3/",11545735,11550971,11579692,11606573,11622315,11640060,11665706,11680892,11696507
"39000","Ohio","30","Per capita personal income (dollars) 4/",39063,40625,41087,42740,44386,45204,46804,48728,50167
"39000","Ohio","","Employment (number of jobs)","","","","","","","","",""
"39000","Ohio","7010","Total employment",6521658,6605931,6680769,6771468,6862127,6931860,6988155,7065741,7142330
"40000","Oklahoma","","Income by place of residence","","","","","","","","",""
"40000","Oklahoma","10","Personal income (millions of dollars)",147889.5,158353.9,166063.4,176621.9,172770.1,164463.4,172169.5,180633.6,187327.5
"40000","Oklahoma","20","Population (persons) 3/",3788824,3819320,3853891,3879187,3910518,3928143,3933602,3943488,3960676
"40000","Oklahoma","30","Per capita personal income (dollars) 4/",39033,41461,43090,45531,44181,41868,43769,45806,47297
"40000","Oklahoma","","Employment (number of jobs)","","","","","","","","",""
"40000","Oklahoma","7010","Total employment",2158874,2211773,2248291,2272885,2287598,2286701,2290660,2310659,2336794
"41000","Oregon","","Income by place of residence","","","","","","","","",""
"41000","Oregon","10","Personal income (millions of dollars)",146432.2,154408.5,156977.1,168408.8,181367.0,190534.2,202051.5,215365.4,224346.4
"41000","Oregon","20","Population (persons) 3/",3872672,3900102,3924110,3965447,4018542,4093271,4147294,4183538,4216116
"41000","Oregon","30","Per capita personal income (dollars) 4/",37812,39591,40003,42469,45133,46548,48719,51479,53212
"41000","Oregon","","Employment (number of jobs)","","","","","","","","",""
"41000","Oregon","7010","Total employment",2201553,2219899,2259714,2323122,2391112,2450362,2516074,2570026,2619624
"42000","Pennsylvania","","Income by place of residence","","","","","","","","",""
"42000","Pennsylvania","10","Personal income (millions of dollars)",563434.9,587521.9,592972.7,619387.1,644445.8,662352.9,681658.5,717255.3,742924.3
"42000","Pennsylvania","20","Population (persons) 3/",12747052,12769123,12779538,12792392,12789838,12788468,12794679,12809107,12798883
"42000","Pennsylvania","30","Per capita personal income (dollars) 4/",44201,46011,46400,48418,50387,51793,53277,55996,58046
"42000","Pennsylvania","","Employment (number of jobs)","","","","","","","","",""
"42000","Pennsylvania","7010","Total employment",7217098,7284519,7350854,7434313,7510351,7593966,7663502,7765629,7873779
"44000","Rhode Island","","Income by place of residence","","","","","","","","",""
"44000","Rhode Island","10","Personal income (millions of dollars)",47067.0,48810.3,48772.6,50863.3,52739.2,53530.2,55574.7,57603.7,59707.2
"44000","Rhode Island","20","Population (persons) 3/",1053829,1054893,1055560,1056511,1056886,1057816,1056554,1059338,1058158
"44000","Rhode Island","30","Per capita personal income (dollars) 4/",44663,46270,46205,48143,49901,50604,52600,54377,56426
"44000","Rhode Island","","Employment (number of jobs)","","","","","","","","",""
"44000","Rhode Island","7010","Total employment",591692,592978,602429,613133,627028,632521,637946,648015,656527
"45000","South Carolina","","Income by place of residence","","","","","","","","",""
"45000","South Carolina","10","Personal income (millions of dollars)",159187.4,167797.5,170227.2,181483.1,192966.8,201138.8,212034.1,223256.9,233948.4
"45000","South Carolina","20","Population (persons) 3/",4672655,4719027,4766469,4826858,4896006,4963031,5027102,5091702,5157702
"45000","South Carolina","30","Per capita personal income (dollars) 4/",34068,35558,35713,37599,39413,40527,42178,43847,45359
"45000","South Carolina","","Employment (number of jobs)","","","","","","","","",""
"45000","South Carolina","7010","Total employment",2427409,2453282,2500792,2564448,2636738,2700035,2760166,2846388,2901536
"46000","South Dakota","","Income by place of residence","","","","","","","","",""
"46000","South Dakota","10","Personal income (millions of dollars)",36741.9,37659.4,38108.6,39872.2,41570.7,42049.0,43457.3,46248.9,47738.1
"46000","South Dakota","20","Population (persons) 3/",823740,833859,842751,849670,854663,863693,873732,879386,887127
"46000","South Dakota","30","Per capita personal income (dollars) 4/",44604,45163,45219,46927,48640,48685,49738,52592,53812
"46000","South Dakota","","Employment (number of jobs)","","","","","","","","",""
"46000","South Dakota","7010","Total employment",566480,574966,581384,589296,592591,597414,601300,609555,617232
"47000","Tennessee","","Income by place of residence","","","","","","","","",""
"47000","Tennessee","10","Personal income (millions of dollars)",240717.7,253613.1,256016.1,266873.5,280955.2,289936.0,303460.7,319689.7,332472.7
"47000","Tennessee","20","Population (persons) 3/",6400298,6455752,6496943,6544617,6595354,6651277,6714748,6778180,6830325
"47000","Tennessee","30","Per capita personal income (dollars) 4/",37610,39285,39406,40778,42599,43591,45193,47165,48676
"47000","Tennessee","","Employment (number of jobs)","","","","","","","","",""
"47000","Tennessee","7010","Total employment",3589041,3635195,3688630,3772332,3859507,3951095,4032836,4118341,4205777
"48000","Texas","","Income by place of residence","","","","","","","","",""
"48000","Texas","10","Personal income (millions of dollars)",1057757.5,1132222.1,1159721.6,1248709.9,1278809.8,1278552.1,1369329.5,1463962.2,1531346.5
"48000","Texas","20","Population (persons) 3/",25645504,26084120,26479646,26963092,27468531,27914064,28291024,28624564,28986794
"48000","Texas","30","Per capita personal income (dollars) 4/",41245,43407,43797,46312,46555,45803,48402,51144,52829
"48000","Texas","","Employment (number of jobs)","","","","","","","","",""
"48000","Texas","7010","Total employment",14681432,15095912,15529989,16000512,16414591,16685139,17102707,17605335,18024338
"49000","Utah","","Income by place of residence","","","","","","","","",""
"49000","Utah","10","Personal income (millions of dollars)",96245.3,103120.6,106427.3,113140.9,121954.1,128900.6,136996.8,148240.6,156896.3
"49000","Utah","20","Population (persons) 3/",2814797,2854146,2898773,2938327,2983626,3044241,3103540,3155153,3203383
"49000","Utah","30","Per capita personal income (dollars) 4/",34193,36130,36715,38505,40874,42342,44142,46984,48978
"49000","Utah","","Employment (number of jobs)","","","","","","","","",""
"49000","Utah","7010","Total employment",1664426,1706060,1753371,1803953,1865926,1933422,1993340,2068131,2127017
"50000","Vermont","","Income by place of residence","","","","","","","","",""
"50000","Vermont","10","Personal income (millions of dollars)",27455.2,28395.7,28768.9,29886.8,30882.3,31445.0,32276.9,33422.7,34502.3
"50000","Vermont","20","Population (persons) 3/",627197,626361,626603,625693,625810,624366,625132,624802,624046
"50000","Vermont","30","Per capita personal income (dollars) 4/",43774,45334,45912,47766,49348,50363,51632,53493,55288
"50000","Vermont","","Employment (number of jobs)","","","","","","","","",""
"50000","Vermont","7010","Total employment",416949,421809,425029,428938,432508,433924,436223,437913,441120
"51000","Virginia","","Income by place of residence","","","","","","","","",""
